Player_name,F,QF,R128,R16,R32,R64,SF
David Sanchez,1.0,0.333333333333,0.583333333333,0.363636363636,0.486486486486,0.333333333333,0.285714285714
David Sherwood,0.0,0.0,0.0,1.0,0.0,0.0,0.0
Davide Sanguinetti,0.8,0.631578947368,0.486486486486,0.4375,0.481012658228,0.212765957447,0.416666666667
Denis Gremelmayr,0.0,0.6,0.3125,0.181818181818,0.363636363636,0.6,0.0
Denis Istomin,0.5,0.333333333333,0.44,0.547169811321,0.5,0.397435897436,0.363636363636
Denis Kudla,0.0,0.333333333333,0.214285714286,0.45,0.4375,0.181818181818,0.0
Denis Matsukevitch,0.0,0.0,0.0,0.0,0.333333333333,0.0,0.0
Denis Shapovalov,0.0,1.0,0.2,0.666666666667,0.555555555556,0.428571428571,0.0
Dennis Novak,0.0,0.0,0.0,0.0,0.4,0.0,0.0
Dennis Novikov,0.0,0.0,1.0,0.5,0.142857142857,0.333333333333,0.0
Dennis Van Scheppingen,0.0,0.333333333333,0.3,0.0,0.416666666667,1.0,0.0
Di Wu,0.0,0.0,0.0,0.0,0.1,0.285714285714,0.0
Dick Norman,0.0,1.0,0.2,0.454545454545,0.2,0.2,0.0
Didac Perez,0.0,0.0,0.0,0.0,0.0,0.5,0.0
Diego Hartfield,0.0,0.333333333333,0.222222222222,0.2,0.454545454545,0.666666666667,0.0
Diego Junqueira,0.0,0.0,0.125,0.571428571429,0.318181818182,0.125,0.0
Diego Sebastian Schwartzman,0.333333333333,0.4,0.5,0.428571428571,0.54,0.478260869565,0.5
Diego Veronelli,0.0,0.0,1.0,0.0,0.5,0.0,0.0
Dieter Kindlmann,0.0,0.0,0.0,0.166666666667,0.0,0.0,0.0
Dimitar Kutrovsky,0.0,0.0,1.0,0.0,1.0,0.0,0.0
Diogo Rocha,0.0,0.0,0.0,0.0,0.5,0.0,0.0
Dmitry Tursunov,0.777777777778,0.512820512821,0.4875,0.491228070175,0.538461538462,0.454545454545,0.45
Dominic Thiem,0.615384615385,0.611111111111,0.537313432836,0.857142857143,0.653846153846,0.609756097561,0.590909090909
Dominik Hrbaty,0.6,0.466666666667,0.441176470588,0.485714285714,0.492753623188,0.630136986301,0.357142857143
Dominik Meffert,1.0,0.5,0.4,0.0,0.625,0.0,1.0
Donald Young,0.0,0.470588235294,0.34,0.403846153846,0.448598130841,0.426229508197,0.25
Dudi Sela,0.0,0.3,0.416666666667,0.48,0.443396226415,0.355555555556,0.428571428571
Dusan Lajovic,0.0,0.214285714286,0.424242424242,0.434782608696,0.485294117647,0.333333333333,0.0
Dusan Vemic,0.0,0.0,0.166666666667,0.0,0.666666666667,0.666666666667,0.0
Dustin Brown,0.0,0.166666666667,0.352941176471,0.291666666667,0.492753623188,0.384615384615,0.0
Edgardo Massa,0.0,0.0,0.25,0.0,0.222222222222,1.0,0.0
Edouard Roger Vasselin,0.0,0.307692307692,0.351351351351,0.5,0.439024390244,0.341463414634,0.5
Eduardo Schwank,0.0,0.125,0.470588235294,0.357142857143,0.414634146341,0.352941176471,0.0
Elias Ymer,0.0,0.0,0.2,0.0,0.3125,0.5,0.0
Emilio Gomez,0.0,0.0,0.0,0.0,0.5,0.0,0.0
Eric Prodon,0.0,0.0,0.0,0.0,0.0833333333333,0.0,0.0
Eric Taino,0.0,0.0,0.0,0.0,0.285714285714,1.0,0.0
Ernesto Escobedo,0.0,1.0,0.25,0.5,0.333333333333,0.25,0.0
Ernests Gulbis,1.0,0.435897435897,0.469879518072,0.530612244898,0.560606060606,0.423529411765,0.352941176471
Ervin Eleskovic,0.0,0.0,0.0,0.0,0.25,0.0,0.0
Evan King,0.0,0.0,0.0,0.0,0.5,0.0,0.0
Evgeny Donskoy,0.0,0.333333333333,0.2,0.421052631579,0.263157894737,0.368421052632,0.0
Evgeny Korolev,0.0,0.222222222222,0.53125,0.409090909091,0.586206896552,0.24,0.25
Fabio Fognini,0.357142857143,0.566037735849,0.48623853211,0.571428571429,0.511904761905,0.524752475248,0.466666666667
Fabrice Santoro,1.0,0.41935483871,0.476923076923,0.622222222222,0.547008547009,0.397435897436,0.307692307692
Facundo Arguello,0.0,0.0,0.0,0.0,0.0833333333333,0.0,0.0
Facundo Bagnis,0.0,0.0,0.222222222222,0.3,0.375,0.0,0.0
Federico Browne,0.0,0.0,0.333333333333,0.5,0.428571428571,0.5,0.0
Federico Delbonis,0.5,0.454545454545,0.55,0.416666666667,0.545454545455,0.259259259259,0.4
Federico Gaio,0.0,0.0,1.0,0.0,0.333333333333,0.0,0.0
Federico Luzzi,0.0,0.0,0.0,0.166666666667,0.428571428571,0.0,0.0
Feliciano Lopez,0.352941176471,0.452380952381,0.494047619048,0.692307692308,0.527472527473,0.579487179487,0.447368421053
Felix Mantilla,0.2,0.368421052632,0.463414634146,0.3125,0.532467532468,0.717948717949,0.714285714286
Fernando Gonzalez,0.541666666667,0.585714285714,0.654205607477,0.772727272727,0.64375,0.752577319588,0.560975609756
Fernando Meligeni,0.0,0.666666666667,0.315789473684,0.545454545455,0.542857142857,0.25,0.5
Fernando Verdasco,0.318181818182,0.473684210526,0.525139664804,0.8125,0.592452830189,0.61875,0.488888888889
Fernando Vicente,0.0,0.222222222222,0.36,0.545454545455,0.324675324675,0.447368421053,1.0
Filip Krajinovic,0.0,1.0,0.25,0.2,0.444444444444,0.428571428571,0.5
Filip Peliwo,0.0,0.0,0.0,0.0,0.5,0.333333333333,0.0
Filip Prpic,0.0,0.0,0.0,0.0,0.181818181818,0.0,0.0
Filippo Volandri,0.3,0.611111111111,0.529411764706,0.162790697674,0.447368421053,0.442307692308,0.434782608696
Flavio Cipolla,0.0,0.25,0.222222222222,0.4,0.409090909091,0.315789473684,0.0
Flavio Saretta,0.0,0.4,0.37037037037,0.434782608696,0.509090909091,0.5,0.0
Florent Serra,0.666666666667,0.368421052632,0.404255319149,0.568181818182,0.408695652174,0.345454545455,0.428571428571
Florian Mayer,0.333333333333,0.333333333333,0.540229885057,0.526315789474,0.487804878049,0.493827160494,0.4375
Florin Mergea,0.0,0.0,0.0,0.0,0.5,1.0,0.0
Francesco Aldi,0.0,0.0,0.0,0.0,0.125,0.0,0.0
Francis Tiafoe,0.0,0.0,0.0,0.363636363636,0.125,0.272727272727,0.0
Francisco Clavet,0.0,0.0,0.75,0.363636363636,0.307692307692,0.222222222222,0.0
Francisco Fogues,0.0,0.0,0.0,0.0,0.0,1.0,0.0
Franco Ferreiro,0.0,0.0,1.0,0.0,0.5,0.0,0.0
Franco Skugor,0.0,0.0,0.25,0.0,0.307692307692,0.0,0.0
Franco Squillari,0.0,0.222222222222,0.346153846154,0.307692307692,0.52,0.5,1.0
Frank Dancevic,0.0,0.571428571429,0.35,0.333333333333,0.42,0.351351351351,0.5
Frantisek Cermak,0.0,0.0,0.25,0.0,0.363636363636,1.0,0.0
Fred Hemmes,0.0,0.0,0.0,0.0,0.5,0.0,0.0
Frederic Niemeyer,0.0,0.0,0.0,0.5,0.142857142857,0.2,0.0
